Experiment,Feature_Count,CV_MAE,CV_RMSE,CV_R2,Test_MAE,Test_RMSE,Test_R2
Experiment A (Linear),16,7.233843,8.520163,-0.227963,6.927393,8.191651,-0.230177
Experiment A (Ridge),16,7.232477,8.516067,-0.22633,6.928245,8.190464,-0.22982
Experiment B (Linear),67,7.336204,8.529546,-0.346332,8.167682,9.627276,-0.699149
Experiment B (Ridge),67,7.318326,8.501866,-0.327089,8.199905,9.623172,-0.697701
Experiment C (Ridge),99,7.432979,8.686053,-0.444857,8.319597,9.888553,-0.792628
Experiment C (Linear),99,7.491264,8.841296,-0.531015,8.323767,9.990032,-0.82961
Experiment D (Ridge),131,8.698927,10.876414,-1.807899,9.069046,13.547627,-2.364737
Experiment D (Linear),131,8.888239,11.354909,-2.16382,9.418489,14.198624,-2.695874
