feature,importance
Jitter(%)_roll_std_w3,3.467779908711933e-05
Jitter:RAP_trend_delta,3.2088067127511e-05
HNR_trend_delta,1.9730970318534596e-05
DFA,1.9607800229138827e-05
Jitter:PPQ5_trend_delta,1.9354004874460727e-05
Shimmer:APQ11_roll_std_w3,1.9224204524629052e-05
HNR_lag_3,7.707770833607523e-06
Jitter(Abs)_trend_delta,7.3448155907250835e-06
PPE_trend_delta,6.792926290922033e-06
Shimmer:DDA_trend_delta,5.873212075359431e-06
